"Date","Open","High","Low","Close","Volume","Adjusted","Log_Return","Vol_Proxy","VIX_Close"
2000-01-04,143.53125,144.0625,139.640625,139.75,8089800,87.5689010620117,-0.0398913265936578,0.00159131793740187,27.0100002288818
2000-01-05,139.9375,141.53125,137.25,140,12177900,87.7255706787109,0.00178750255908167,3.19516539872351e-06,26.4099998474121
2000-01-06,139.625,141.5,137.75,137.75,6227200,86.3156967163086,-0.0162019597394849,0.00026250349939989,25.7299995422363
2000-01-07,140.3125,145.75,140.0625,145.75,8066500,91.3286209106445,0.0564527534968988,0.00318691337738162,21.7199993133545
2000-01-10,146.25,146.90625,145.03125,146.25,5741700,91.6419067382812,0.00342444368298978,1.17268145379686e-05,21.7099990844727
2000-01-11,145.8125,146.09375,143.5,144.5,7503700,90.545295715332,-0.0120384335662331,0.000144923882728609,22.5
2000-01-12,144.59375,144.59375,142.875,143.0625,6907700,89.6445465087891,-0.00999786334732633,9.99572715118112e-05,22.8400001525879
2000-01-13,144.46875,145.75,143.28125,145,5158300,90.8586273193359,0.013452385282279,0.000180966669782876,21.7099990844727
2000-01-14,146.53125,147.46875,145.96875,146.96875,7437300,92.0922470092773,0.0134860070080727,0.000181872385021785,19.6599998474121
2000-01-18,145.34375,146.625,145.1875,145.8125,6488500,91.3677062988281,-0.00789866632279956,6.2388929678928e-05,21.5
2000-01-19,145.3125,147,145,147,6157900,92.1117935180664,0.00811089303407542,6.57865858102131e-05,21.7199993133545
2000-01-20,146.96875,146.96875,143.8125,144.75,5800100,90.7019805908203,-0.0154237926848904,0.000237893380786477,21.75
2000-01-21,145.5,145.5,144.0625,144.4375,6244800,90.5061340332031,-0.0021615658247871,4.67236681488755e-06,20.8199996948242
2000-01-24,145.65625,145.84375,139.40625,140.34375,7896900,87.9409484863281,-0.0287520784793216,0.000826682016881068,24.0699996948242
2000-01-25,140.515625,141.9375,139,141.9375,9942500,88.939582824707,0.0112917452445043,0.000127503510666785,23.0200004577637
2000-01-26,141,141.546875,140.09375,140.8125,5158100,88.2346878051758,-0.00795712307742047,6.33158076692174e-05,23.0300006866455
2000-01-27,141.84375,142.21875,138.125,140.25,10922700,87.8821792602539,-0.00400312612348674,1.6025018760542e-05,23.5400009155273
2000-01-28,139.4375,140.0625,135.53125,135.875,11916200,85.1407470703125,-0.0316913103739385,0.0010043391532173,26.1399993896484
2000-01-31,135.8125,139.671875,135,139.5625,10768700,87.451416015625,0.0267776586502579,0.000717043002789734,24.9500007629395
2000-02-01,139.75,141.6875,138.53125,140.9375,8419900,88.31298828125,0.00980379582377022,9.61144125541745e-05,23.4500007629395
2000-02-02,141.28125,142.25,140.375,141.0625,6205900,88.3913192749023,0.00088657712838458,7.86019004574649e-07,23.1200008392334
2000-02-03,140.875,143.25,140,143.1875,7997500,89.7228851318359,0.0149520996254573,0.0002235652832096,22.0100002288818
2000-02-04,143.1875,144,142.125,142.59375,4925400,89.3507843017578,-0.00415584677304004,1.72710624009873e-05,21.5400009155273
2000-02-07,142.5625,142.78125,141.4375,142.375,5845800,89.213752746582,-0.00153481295156066,2.35565079627835e-06,22.7900009155273
